PassengerId,Survived,Pclass,Name,Sex,Age,Fare
1,0,3,John,male,22,7.25
2,1,1,Alice,female,38,71.28
3,1,3,Mary,female,26,7.92
4,1,1,Jane,female,35,53.10
5,0,3,David,male,35,8.05
6,0,3,Michael,male,28,8.45
7,1,2,Sophia,female,30,13.00
8,1,1,Emma,female,45,83.47
9,0,3,James,male,19,7.89
10,1,2,Olivia,female,24,12.35
11,0,3,William,male,40,7.75
12,1,1,Charlotte,female,36,52.00
13,0,3,Benjamin,male,32,8.20
14,1,2,Amelia,female,27,15.50
15,0,3,Lucas,male,21,7.10
16,1,1,Mia,female,41,79.20
17,0,2,Henry,male,34,11.50
18,1,2,Evelyn,female,29,14.20
19,0,3,Alexander,male,25,7.95
20,1,1,Harper,female,33,65.00
21,0,3,Daniel,male,23,8.05
22,1,2,Abigail,female,31,13.75
23,0,3,Matthew,male,37,7.85
24,1,1,Ella,female,42,91.00
25,0,2,Joseph,male,28,10.50
26,1,2,Avery,female,26,14.00
27,0,3,Samuel,male,20,7.25
28,1,1,Scarlett,female,39,72.50
29,0,3,Andrew,male,30,8.15
30,1,2,Grace,female,27,16.00
